left_name,right_name,decision,preferred_name,reviewed_by,notes
"National Intelligence, Office of the National Director",Office of the Director of National Intelligence,merge,Office of the Director of National Intelligence,FederalGraph v1 review,Directory/source-name variant; source descriptions identify ODNI.
Pacific Command,U.S. Indo-Pacific Command,historical_alias,U.S. Indo-Pacific Command,FederalGraph v1 review,"USA.gov rows share website, acronym, and description identifying U.S. Indo-Pacific Command."
Mediation and Conciliation Service,Federal Mediation and Conciliation Service,merge,Federal Mediation and Conciliation Service,FederalGraph v1 review,USA.gov rows share FMCS website/acronym/description.
Congress—U.S. House of Representatives,U.S. House of Representatives,merge,U.S. House of Representatives,FederalGraph v1 review,USA.gov rows share house.gov and identical description.
Policy Development and Research,Office of Policy Development and Research,merge,Office of Policy Development and Research,FederalGraph v1 review,USA.gov rows share HUD website and identical office description.
Fair Housing and Equal Opportunity,Office of Fair Housing and Equal Opportunity,merge,Office of Fair Housing and Equal Opportunity,FederalGraph v1 review,USA.gov rows share HUD website and identical office description.
Prevention Information Network,National Prevention Information Network,merge,National Prevention Information Network,FederalGraph v1 review,USA.gov rows share NPIN website and identical description.
Community Planning and Development,Office of Community Planning and Development,merge,Office of Community Planning and Development,FederalGraph v1 review,USA.gov rows share HUD website and identical office description.
Federal Register,Office of the Federal Register,merge,Office of the Federal Register,FederalGraph v1 review,USA.gov description explicitly identifies Office of the Federal Register; Federal Register source is Federal Register Office.
Corps of Engineers,U.S. Army Corps of Engineers,merge,U.S. Army Corps of Engineers,FederalGraph v1 review,USA.gov rows share USACE website and identical description.
Federal Law Enforcement Training Center,Federal Law Enforcement Training Centers,historical_alias,Federal Law Enforcement Training Centers,FederalGraph v1 review,Same FLETC organization; singular/plural source-name variation.
Indian Affairs,Bureau of Indian Affairs,merge,Bureau of Indian Affairs,FederalGraph v1 review,USA.gov Indian Affairs row explicitly describes Bureau of Indian Affairs and shares bia.gov.
Medicare Payment Advisory Commission (MedPAC),Medicare Payment Advisory Commission,merge,Medicare Payment Advisory Commission,FederalGraph v1 review,Same MedPAC entity across USA.gov and Federal Register.
Bureau of Prisons,Federal Bureau of Prisons,merge,Federal Bureau of Prisons,FederalGraph v1 review,USA.gov rows share bop.gov and explicitly identify Federal Bureau of Prisons.
Circuit Courts of Appeal,U.S. Courts of Appeal,merge,U.S. Courts of Appeal,FederalGraph v1 review,USA.gov rows share uscourts.gov and identical description.
Judicial Circuit Courts of Appeal,U.S. Courts of Appeal,merge,U.S. Courts of Appeal,FederalGraph v1 review,USA.gov rows share uscourts.gov and identical description.
Postal Rate Commission,Postal Regulatory Commission,historical_alias,Postal Regulatory Commission,FederalGraph v1 review,Federal Register description says Postal Regulatory Commission is successor to Postal Rate Commission.
Inspectors General,Council of the Inspectors General on Integrity and Efficiency,merge,Council of the Inspectors General on Integrity and Efficiency,FederalGraph v1 review,USA.gov rows share CIGIE website/acronym/description.
Child Support Enforcement Office,Office of Child Support Services,historical_alias,Office of Child Support Services,FederalGraph v1 review,USA.gov current OCSS row and old office row share site; Federal Register describes earlier office name.
Air Force Reserve,U.S. Air Force Reserve Command,merge,U.S. Air Force Reserve Command,FederalGraph v1 review,USA.gov rows share AFRC website and identical description naming Air Force Reserve Command.
Helsinki Commission,Commission on Security and Cooperation in Europe (Helsinki Commission),merge,Commission on Security and Cooperation in Europe (Helsinki Commission),FederalGraph v1 review,USA.gov rows share csce.gov and identical description.
Defense Finance and Accounting Service Debt and Claims Management Center,Debt and Claims Management Center,merge,Debt and Claims Management Center,FederalGraph v1 review,USA.gov rows share DFAS URL and identical description of same center.
